trained_on,model,all,cosmosqa,drop,mcscript,narrativeqa,quoref,socialiqa
cosmosqa,l1-018,0.5715298786068326,0.813554716312042,0.3050889903953388,0.3932861494145522,0.6191948894416676,0.3380044784778234,0.7300030476902594
cosmosqa,lr,0.6286831609111484,0.8258967967790164,0.40304366540183,0.4844763592651357,0.6755141146172,0.3577152416835356,0.734772290660922
cosmosqa,rf,0.6143442062884671,0.8229139528669102,0.44713617804733125,0.45358197860593386,0.5981115434744708,0.41285323855416456,0.7076084455317362
drop,avg-MRB,0.6428853073645827,0.7573403407411408,0.6259791104247195,0.5162253416337965,0.6923310348986799,0.7258100007233995,0.7122100183374109
drop,avg-all,0.5499385019413995,0.6712804309074413,0.5644794761893249,0.40025946810516483,0.5881130452709205,0.8298191737549411,0.6246421611159425
drop,l1-018,0.5738898288404634,0.6841471775157766,0.6375778291058339,0.4511638850813368,0.6095661497005951,0.8163137743905612,0.6116210532112426
drop,lr,0.6331985914732654,0.7226718174368644,0.6048072891323819,0.5139629674113091,0.6445795599061556,0.7913872590977413,0.6615666044451651
drop,rf,0.526977162182973,0.6406617874200112,0.6211482251053286,0.4001149706912711,0.559204998224525,0.7067470420104217,0.5483276211744007
mcscript,avg-MRB,0.63729898729901,0.7498943018096937,0.632983769337635,0.50981200127624,0.686947820487088,0.748351329774659,0.7004474533023931
mcscript,avg-all,0.5187802271530011,0.652986798651826,0.5322846342431418,0.37624207579141705,0.5619723034174239,0.7252929258660878,0.6020009825919115
mcscript,l1-018,0.6650025011418073,0.7899578581087104,0.571161701008378,0.5573157905766366,0.6943622224509876,0.6837050234018215,0.738924229852291
mcscript,lr,0.6818538063767233,0.7988761996529201,0.6298363242002383,0.5996773718139211,0.6960482668699643,0.6770018275850224,0.7466399389299797
mcscript,rf,0.6806293485852416,0.7856003127343634,0.6419678462312511,0.6288347359354071,0.6941868174225138,0.7178012296929203,0.679112960209541
narrativeqa,avg-MRB,0.6417644340715536,0.7568974725324354,0.6295254021756098,0.5155748118485004,0.6898729065081275,0.7265164007085384,0.7100340405617374
narrativeqa,avg-all,0.5269446457961657,0.6620841809873264,0.5315665881551295,0.38254236231550487,0.5695784877610969,0.7266588601080016,0.6097351052629565
narrativeqa,l1-018,0.6580568458214424,0.7918385486343877,0.5404633439661342,0.5241571656296794,0.6985516916435986,0.6902581557771379,0.7508169645617068
narrativeqa,lr,0.6825783066111611,0.8003128987025482,0.6051076961692031,0.5752499310987497,0.7231154137369755,0.7147757598307571,0.7530532152998658
narrativeqa,rf,0.6665918987040304,0.7797538809785183,0.5951530071362184,0.5631936583792426,0.7246490375696167,0.7641489470740328,0.6699819960288269
quoref,avg-MRB,0.639271726588995,0.7524512995681678,0.6273126333558393,0.5119565514884311,0.6889684056269485,0.7410056699994956,0.7046007668281985
quoref,avg-all,0.5413032515252412,0.6629141150877564,0.561189652786085,0.395718899455919,0.581146458335242,0.8223243816454809,0.6159503568883529
quoref,l1-018,0.5795711547569014,0.6982328497174277,0.6312032964131178,0.4527520039074829,0.6146491929673152,0.8197262822273805,0.6308260060282331
quoref,lr,0.6167948819677083,0.7297618006786185,0.6468935822909789,0.48618961308727704,0.6544508516317963,0.8207208598865973,0.6590913737549555
quoref,rf,0.5705800936937446,0.7106330097110181,0.6438916322478563,0.4400945946959385,0.6340778333989865,0.7760693031770733,0.5838892162789259
socialiqa,avg-MRB,0.6387084567601626,0.7522510771641052,0.6323756242646519,0.5119968419053883,0.6873338537632216,0.7401336881197735,0.7033679354033417
socialiqa,avg-all,0.5027318598802223,0.6536490851011687,0.5187003745780931,0.36590736647907884,0.5477326804450939,0.6004160889501854,0.5931035133179716
socialiqa,l1-018,0.6129774847688808,0.8087775405315212,0.3869487885460105,0.4703023625011369,0.6275294799931148,0.39833867228760045,0.7573159788802305
socialiqa,lr,0.6587618733849147,0.8180082105723909,0.4986830081245265,0.5520300737478495,0.6915742875263303,0.49012675313336673,0.7658915487794734
socialiqa,rf,0.6333660406201197,0.7914585089025802,0.5129917689238769,0.5227229352661564,0.6040422680458933,0.5909262854147569,0.7468765534476054
