,mse,r2,pearson,spearman,features,target,model_classpath,model_hparams,trained_on,evaluated_on
106,0.1426132168338297,0.050769617574086046,0.4369515639791693,0.4036414475841107,['recall_at_err1'],score_scaled,recall_at_err1,{'feature': 'recall_at_err1'},all,cosmosqa
107,0.18330053241227762,-0.3628068919413252,0.24282571066535208,0.18040756257137514,['recall_at_err1'],score_scaled,recall_at_err1,{'feature': 'recall_at_err1'},all,drop
108,0.2517392151219963,-0.7197662432872074,0.18622507724605655,0.15065039653244433,['recall_at_err1'],score_scaled,recall_at_err1,{'feature': 'recall_at_err1'},all,mcscript
109,0.2561940702467928,-0.7093582781464258,0.18611670027495647,0.1327726965691076,['recall_at_err1'],score_scaled,recall_at_err1,{'feature': 'recall_at_err1'},all,narrativeqa
110,0.16516775678294573,-1.2080864995139815,0.32508133296269265,0.4056065121588721,['recall_at_err1'],score_scaled,recall_at_err1,{'feature': 'recall_at_err1'},all,quoref
111,0.17693114262426218,-0.3228521972392071,0.3872763820105733,0.3946072938359077,['recall_at_err1'],score_scaled,recall_at_err1,{'feature': 'recall_at_err1'},all,socialiqa
112,3.376543835398132,-23.054124585631335,0.36013105577255405,0.3572436884724072,['tp'],score_scaled,tp,{'feature': 'tp'},all,all
113,8.400805270863836,-54.915572041539605,0.6176721090000686,0.5929970179358486,['tp'],score_scaled,tp,{'feature': 'tp'},all,cosmosqa
114,2.091978092783505,-14.553485443366176,0.30738715296816277,0.4115761277115703,['tp'],score_scaled,tp,{'feature': 'tp'},all,drop
115,1.134621392865258,-6.751210193515399,0.1644146766424319,0.17357980651647853,['tp'],score_scaled,tp,{'feature': 'tp'},all,mcscript
116,3.72210518102372,-23.834342563766832,0.32577588469997804,0.388525090983329,['tp'],score_scaled,tp,{'feature': 'tp'},all,narrativeqa
117,0.7806140988372093,-9.435834974969463,0.4768228181699277,0.6137702684694594,['tp'],score_scaled,tp,{'feature': 'tp'},all,quoref
118,2.8564678247569106,-20.356809673395592,0.45254465136962935,0.4712635011544877,['tp'],score_scaled,tp,{'feature': 'tp'},all,socialiqa
119,12.284459358803803,-86.51312889410474,-0.298353656026267,-0.33705197141669213,['fn'],score_scaled,fn,{'feature': 'fn'},all,all
120,18.13433382137628,-119.70172043283503,-0.5581310035189314,-0.5748287070274778,['fn'],score_scaled,fn,{'feature': 'fn'},all,cosmosqa
121,8.236307989690722,-60.235486579252786,-0.269537151910625,-0.3185303952625742,['fn'],score_scaled,fn,{'feature': 'fn'},all,drop
122,12.260217848216314,-82.75615527557675,-0.20729858303490212,-0.2075920330714689,['fn'],score_scaled,fn,{'feature': 'fn'},all,mcscript
123,13.515738139825219,-89.178663590122,-0.2836065593260849,-0.3254735322270614,['fn'],score_scaled,fn,{'feature': 'fn'},all,narrativeqa
124,3.053869912790698,-39.82642433999167,-0.20061399923731796,-0.29228546694725416,['fn'],score_scaled,fn,{'feature': 'fn'},all,quoref
125,10.809925707418333,-79.82202919142858,-0.36271624381575573,-0.4662746409962752,['fn'],score_scaled,fn,{'feature': 'fn'},all,socialiqa
126,28.778826200077603,-204.01717276336618,-0.29796006406687436,-0.36802634415324476,['fp'],score_scaled,fp,{'feature': 'fp'},all,all
127,42.369814543679844,-281.01253821708815,-0.5506438951145127,-0.6351599500972366,['fp'],score_scaled,fp,{'feature': 'fp'},all,cosmosqa
128,173.90898840206185,-1291.982430797343,-0.11458525589179917,-0.1511813588851462,['fp'],score_scaled,fp,{'feature': 'fp'},all,drop
129,11.5749758577596,-78.0748979549829,-0.2653240909377616,-0.25717898281094104,['fp'],score_scaled,fp,{'feature': 'fp'},all,mcscript
